year,trend
2019-1-4,97.80163797
2019-1-5,97.88821746
2019-1-6,101.1878266
2019-1-7,97.70343372
2019-1-8,97.64148079
2019-1-9,101.6287912
2019-1-10,104.0674108
2019-1-11,105.5968109
2019-1-12,105.5457142
2019-1-13,107.2259187
2019-1-14,111.4982625
2019-1-15,112.8489124
2019-1-16,111.9512473
2019-1-17,110.8777474
2019-1-18,109.8729125
2019-1-19,108.497361
2019-1-20,106.496032
2019-1-21,104.1148603
2019-1-22,101.7466997
2019-1-23,99.84977261
2019-1-24,97.50415298
2019-1-25,95.43356632
2019-1-26,92.81331049
2019-1-27,90.63035807
2019-1-28,88.97856839
2019-1-29,92.69847479
2019-1-30,90.27167024
2019-1-31,93.30065466
2019-2-1,95.45992637
2019-2-2,95.76272292
2019-2-3,96.78332823
2019-2-4,99.27509119
2019-2-5,97.27275976
2019-2-6,101.5296866
2019-2-7,98.16871783
2019-2-8,98.18032579
2019-2-9,102.3305504
2019-2-10,102.238564
2019-2-11,101.0094842
2019-2-12,99.22000046
2019-2-13,97.27535181
2019-2-14,98.64673698
2019-2-15,98.00591473
2019-2-16,95.58785936
2019-2-17,96.62288217
2019-2-18,97.73861989
2019-2-19,98.47308828
2019-2-20,98.9481205
2019-2-21,98.8831619
2019-2-22,98.39361085
2019-2-23,98.56677494
2019-2-24,98.67849505
2019-2-25,98.12427518
2019-2-26,100.9792208
2019-2-27,98.08522892
2019-2-28,99.7128052
2019-3-1,100.8391004
2019-3-2,99.7229595
2019-3-3,100.0447329
2019-3-4,101.1990939
2019-3-5,99.27571837
2019-3-6,103.7949306
2019-3-7,101.5597851
2019-3-8,100.8658809
2019-3-9,104.3365193
2019-3-10,104.3909125
2019-3-11,103.6064128
2019-3-12,102.6553582
2019-3-13,101.4374815
2019-3-14,102.2015138
2019-3-15,101.9877063
2019-3-16,98.86565086
2019-3-17,98.12800143
2019-3-18,97.71527352
2019-3-19,97.9697633
2019-3-20,98.22594774
2019-3-21,98.25407961
2019-3-22,98.27495601
2019-3-23,98.62026381
2019-3-24,98.76713218
2019-3-25,98.94334166
2019-3-26,98.21693078
2019-3-27,97.57479003
2019-3-28,97.41009618
2019-3-29,99.88522907
2019-3-30,96.4750745
